uniqu.name.id,group.nd.name,variants_count,variants_joined,collab_n,collab_start_week,collab_end_week
46,GOD 손호영,4,GOD 손호영 | 손호영 GOD | 손호영 지오디 | 지오디 손호영,2,2025-W36,2025-W38
47,I MET U 리아,4,I MET U 리아 | 리아 I MET U | 리아 아이멧유 | 아이멧유 리아,1,2025-W43,2025-W45
48,I MET U 예린,4,I MET U 예린 | 아이멧유 예린 | 예린 I MET U | 예린 아이멧유,1,2025-W43,2025-W45
49,I MET U 켈리,4,I MET U 켈리 | 아이멧유 켈리 | 켈리 I MET U | 켈리 아이멧유,1,2025-W43,2025-W45
50,I MET U 클레오,4,I MET U 클레오 | 아이멧유 클레오 | 클레오 I MET U | 클레오 아이멧유,1,2025-W43,2025-W44
51,JX,1,JX,1,2024-W46,2024-W51
52,JX 김재중,2,JX 김재중 | 김재중 JX,1,2024-W46,2024-W51
53,JX 김준수,2,JX 김준수 | 김준수 JX,1,2024-W23,2024-W28
53,JX 김준수,2,JX 김준수 | 김준수 JX,2,2024-W46,2024-W51
53,JX 김준수,2,JX 김준수 | 김준수 JX,3,2025-W12,2025-W18
54,KARD,2,KARD | 카드,1,2024-W32,2024-W34
54,KARD,2,KARD | 카드,2,2025-W26,2025-W29
55,KARD 소민,4,KARD 소민 | 소민 KARD | 소민 카드 | 카드 소민,1,2024-W32,2024-W35
55,KARD 소민,4,KARD 소민 | 소민 KARD | 소민 카드 | 카드 소민,2,2025-W26,2025-W29
56,KARD 제이셉,4,KARD 제이셉 | 제이셉 KARD | 제이셉 카드 | 카드 제이셉,1,2024-W32,2024-W34
56,KARD 제이셉,4,KARD 제이셉 | 제이셉 KARD | 제이셉 카드 | 카드 제이셉,2,2025-W26,2025-W29
57,KARD 지우,4,KARD 지우 | 지우 KARD | 지우 카드 | 카드 지우,1,2024-W32,2024-W34
57,KARD 지우,4,KARD 지우 | 지우 KARD | 지우 카드 | 카드 지우,2,2025-W26,2025-W29
58,LIN YI,1,LIN YI,1,2025-W52,2025-W52
59,NCT,2,NCT | 엔시티,1,2024-W09,2024-W17
60,NCT 도영,4,NCT 도영 | 도영 NCT | 도영 엔시티 | 엔시티 도영,1,2024-W04,2024-W13
60,NCT 도영,4,NCT 도영 | 도영 NCT | 도영 엔시티 | 엔시티 도영,2,2024-W30,2024-W39
